data_horario;user_home;user_away;team_home;team_away;resultado;Score_end_home;Score_end_away;target_class;team_playing_home;team_playing_away
2021-03-07 17:08:00;REBELS;SLEZAINTIMA;ATALANTA (REBELS) ESPORTS;NAPOLI (SLEZAINTIMA) ESPORTS;0-1;0;1;2;ATALANTA;NAPOLI
2021-03-07 17:08:00;FOGGY;PLEVIS;LAZIO (FOGGY) ESPORTS;AC MILAN (PLEVIS) ESPORTS;1-1;1;1;0;LAZIO;AC MILAN
2021-03-07 17:40:00;HOTSHOT;ARCOS;TOTTENHAM (HOTSHOT) ESPORTS;CHELSEA (ARCOS) ESPORTS;3-2;3;2;1;TOTTENHAM;CHELSEA
2021-03-07 17:52:00;ARCOS;JKEY;CHELSEA (ARCOS) ESPORTS;MAN CITY (JKEY) ESPORTS;0-0;0;0;0;CHELSEA;MAN CITY
2021-03-07 18:04:00;VRICO;ARCOS;MAN UTD (VRICO) ESPORTS;CHELSEA (ARCOS) ESPORTS;0-1;0;1;2;MAN UTD;CHELSEA
2021-03-07 18:04:00;JKEY;HOTSHOT;MAN CITY (JKEY) ESPORTS;TOTTENHAM (HOTSHOT) ESPORTS;2-2;2;2;0;MAN CITY;TOTTENHAM
2021-03-07 18:16:00;HOTSHOT;VRICO;TOTTENHAM (HOTSHOT) ESPORTS;MAN UTD (VRICO) ESPORTS;2-1;2;1;1;TOTTENHAM;MAN UTD
2021-03-07 18:28:00;VRICO;JKEY;MAN UTD (VRICO) ESPORTS;MAN CITY (JKEY) ESPORTS;1-2;1;2;2;MAN UTD;MAN CITY
2021-03-07 18:40:00;ARCOS;HOTSHOT;CHELSEA (ARCOS) ESPORTS;TOTTENHAM (HOTSHOT) ESPORTS;2-0;2;0;1;CHELSEA;TOTTENHAM
2021-03-07 18:52:00;JKEY;ARCOS;MAN CITY (JKEY) ESPORTS;CHELSEA (ARCOS) ESPORTS;3-1;3;1;1;MAN CITY;CHELSEA
2021-03-07 19:04:00;ARCOS;VRICO;CHELSEA (ARCOS) ESPORTS;MAN UTD (VRICO) ESPORTS;0-2;0;2;2;CHELSEA;MAN UTD
2021-03-07 19:04:00;HOTSHOT;JKEY;TOTTENHAM (HOTSHOT) ESPORTS;MAN CITY (JKEY) ESPORTS;1-2;1;2;2;TOTTENHAM;MAN CITY
2021-03-07 19:16:00;VRICO;HOTSHOT;MAN UTD (VRICO) ESPORTS;TOTTENHAM (HOTSHOT) ESPORTS;5-1;5;1;1;MAN UTD;TOTTENHAM
2021-03-07 19:28:00;JKEY;VRICO;MAN CITY (JKEY) ESPORTS;MAN UTD (VRICO) ESPORTS;0-2;0;2;2;MAN CITY;MAN UTD
2021-03-07 19:50:00;HOTSHOT;ARCOS;REAL MADRID (HOTSHOT) ESPORTS;PSG (ARCOS) ESPORTS;1-0;1;0;1;REAL MADRID;PSG
2021-03-07 20:02:00;ARCOS;JKEY;PSG (ARCOS) ESPORTS;BARCELONA (JKEY) ESPORTS;3-0;3;0;1;PSG;BARCELONA
